,service_type,p-value,direction
118,DCRA - Illegal Construction,0.49955639818947195,9.885714285714286
119,DOEE - Construction – Erosion Runoff,0.5241576873613103,-1.8142857142857167
120,Tree Removal,0.5344986835045066,31.671428571428578
121,Recycling- Information Request,0.5351002602574935,0.5714285714285716
122,Playground Maintenance,0.5379026210073327,-0.6428571428571428
123,Snow Metro Bus Shelter/Stop,0.5391613203543213,-0.8857142857142857
124,Snow Other (Snow Vehicle / Property Damage),0.5481467199004184,-0.1857142857142857
125,Pet Waste Complaint,0.5838126833532009,2.9142857142857146
126,Insect Treatment,0.6177071048938962,-5.414285714285715
127,DOEE - Engine Idling Tips,0.6376418342432839,-1.3999999999999986
128,Illegal Dumping,0.6593319195901505,38.62857142857138
129,Tree Planting,0.6852484958118821,15.571428571428584
130,Dead Animal Collection,0.6927805530708608,-9.142857142857139
131,Test,0.7370784048551535,2.2714285714285705
132,Leaf Season Collection,0.7485407817267871,25.328571428571436
133,DFHV - Lost and Found Claims (DC Taxi),0.7614546228746675,-0.042857142857142844
134,Emergency - Senior Assistance,0.8188672552418094,0.02857142857142858
135,Snow Towing,0.8188672552418094,0.02857142857142858
136,DCRA - Vacant Private Property Inspection,0.8334068658401357,12.157142857142844
137,DMV - Vehicle Title Issues,0.8658522448576512,-0.5428571428571409
138,DFHV - For Hire Vehicle Concerns,0.8845421407783742,0.05714285714285705
139,311Force Reported Issues,0.9496549587957125,0.01428571428571429
140,Grass and Weeds Mowing,0.9524280412776192,-2.5
141,DMV - Ticket Payment Dispute,0.9737990537483834,-0.05714285714285694
