,service_type,p-value,direction
59,Status of Tree Prune or Removal,4.1069107338713245e-06,-95.0
60,Report a Maintenance Issue at a Ride-On Bus Stop,4.434817569959936e-06,-12.685714285714285
61,Adult Dental Care,4.772224442976698e-06,-11.485714285714284
62,22 Gallon Bin Pick-up ((Bottles/Cans/Jars),5.189003038709967e-06,-626.5714285714286
63,Schedule a Tour of the Recycling Center,5.248434190339056e-06,-12.22857142857143
64,Assigned Residential Inspector,5.432493371715875e-06,-88.78571428571429
65,Department of Finance Divisions and Contact Information,5.632182618953851e-06,-50.04285714285714
66,HIV Services and Information,5.763993688257094e-06,-8.814285714285713
67,7300 Calhoun Place Request for Back Office Response,6.774044357553012e-06,-3.1714285714285717
68,35 Gallon Cart Delivery,6.939246695026919e-06,124.04285714285714
69,Parking Meter - Handicap Cost,6.991254840719865e-06,-4.5285714285714285
70,Immunization for Out of the Country Travel,7.331771606505782e-06,-8.457142857142857
71,Call-n-Ride Eligibility and Program Information,8.02690115663753e-06,-5.9714285714285715
72,"Department of Housing and Community Affairs, Office of Landlord-Tenant Affairs - Location and Business Hours",8.098602772724495e-06,-14.942857142857143
73,Meeting & Event Attendance Requests With the County Executive,8.678623012602088e-06,-12.9
74,Status of Income Support Benefits Case - New Application or Recertification,9.109320508262807e-06,548.7571428571429
75,Bulk Trash Pick-Up Request,9.257405480725349e-06,1149.6857142857143
76,Definition of Accessory Apartment,9.63370454103866e-06,-4.214285714285714
77,Process to Reserve a Public Facility,1.187449978517718e-05,-3.0714285714285716
78,Washington Suburban Sanitary Commission (WSSC),1.416995232991371e-05,-35.95714285714286
79,Cancel a Scheduled Residential Inspection,1.4478338162913993e-05,-17.67142857142857
80,AccessMCG (iRecruitment) - Errors,1.4751704849813201e-05,-14.4
81,Standards for Class 3 Accessory Apartments,1.5376720196873865e-05,-13.642857142857142
82,"Cancel a Scheduled DPS Commercial Building, Electrical or Mechanical Construction Related Permit Inspection",1.8875548047019514e-05,-8.457142857142857
83,AccessMCG (iRecruitment) - Check Status of and Ratings on Employment Application,1.9201667032778514e-05,-9.785714285714286
84,eServices (ePermit and ePlans),2.014574980277722e-05,202.0
85,HIV or STD Testing Information and Resources,2.1545028109188413e-05,78.0
86,Speed Camera Program,2.1917796938172416e-05,-5.014285714285713
87,Name and Telephone Number of DPS Commercial Building Inspector,2.2871088450419788e-05,-52.942857142857136
88,Pre-Construction Meeting for Commercial Building Construction,2.2956651033385132e-05,-6.685714285714287
89,12900 Request for Back Office Response,2.3093561164883327e-05,-32.55714285714286
90,Redeem Property From Tax Lien,2.382326001366185e-05,-102.71428571428571
91,Ride On Request for New Bus Service to Areas Where It Does Not Exist,2.4082926194851202e-05,-2.4142857142857146
92,Cancel Solid Waste Service Request,2.6815996674381694e-05,-63.714285714285715
93,Montgomery County Public Schools (MCPS) Employee Inquiries for Community Use of Public Facilities (CUPF),2.7598205362745366e-05,-2.4
94,Ride On Refund for Cash Lost in Bus Fare Box,2.8494677209171934e-05,-5.285714285714286
95,Freedom of Information Act (FOIA) or Maryland Public Information Act (MPIA) Request.,2.9231279938184848e-05,-4.785714285714286
96,"Status of Tree Prune, Stump or Removal",3.0698589426912494e-05,159.34285714285713
97,"Ride On Complaint - Other, Miscellaneous",3.258905510945729e-05,-10.085714285714285
98,Adult Vaccines and Immunizations the Department of Health and Human Services,3.368524960355561e-05,-7.628571428571429
99,Ride On Real Time Arrival Information,3.3751909619539e-05,-1209.6571428571428
100,Ride On Paper Schedules,3.469807935564326e-05,-24.057142857142853
101,Montgomery County Community Recreation Center Locations and Hours of Operation,3.728321073893749e-05,-7.414285714285714
102,Contact a Landlord Tenant Investigator,3.903400192231932e-05,17.857142857142858
103,Crosswalk Signal Repair,4.240971004683386e-05,-9.314285714285715
104,Missed County Provided Recycling or Trash Pick-up,4.4168958460458584e-05,-104.92857142857143
105,Report a Broken Parking Meter,4.446247906663846e-05,-8.12857142857143
106,Status of Health Care Eligibility Units Application  or How to Apply All Three Office Locations,4.529251900486571e-05,22.94285714285714
107,Application Process for an Electrical Permit,4.6768634213033236e-05,-17.442857142857147
108,Real Property Tax Calculation Method,4.8897016272273496e-05,-4.228571428571429
109,Immunization Clinic Schedule for Children,5.163089718313787e-05,-12.642857142857142
110,Plumbing Permits - Wasington Suburban Sanitary Commission,5.260912454921901e-05,-11.071428571428573
111,Report a Maintenance Problem in a Stormwater BMP or Pond,5.700280960366331e-05,2.9285714285714284
112,Request for Proclamation From the County Executive,5.830286838549109e-05,-1.9142857142857144
113,Pay a Fine for a Speed Camera or a Red Light Camera Ticket,6.17684272175553e-05,-10.614285714285716
114,Active Montgomery System,6.218666155164043e-05,-3.971428571428571
115,Maryland's New Smoke Alarm Law,6.418657690771635e-05,-8.157142857142858
116,Road Repair,6.907227176635042e-05,-56.35714285714286
117,Ride On Fare Media Accepted,6.98597020502026e-05,-3.3142857142857145
118,Replace Damaged or Missing Street Sign,7.348997682988724e-05,-24.32857142857143
119,Process for Electrical License Renewal,7.359033841542304e-05,22.44285714285714
120,Maintenance in County Parking Garages,7.422621340375951e-05,-2.7142857142857144
121,Ride On Insufficient Information,7.477536004058278e-05,-30.114285714285714
122,ADA Complaints or Grievances,7.907637131563323e-05,-2.442857142857143
123,AccessMCG (iRecruitment) - Applying for Multiple County Positions,8.18797027017049e-05,-5.757142857142858
124,Car Seat Program,8.444947902427117e-05,-5.314285714285713
125,Ride On Fare - Obtaining a Senior SmarTrip Card,8.650671231596193e-05,-8.257142857142858
126,Residential Building Codes,9.025486607532481e-05,6.614285714285715
127,Maternity Partnership Program Case Management and Education - Germantown,0.00010057753475900259,16.028571428571432
128,Reporting County Vehicle Driving Complaints,0.00010669719394634241,-3.871428571428571
129,Tuition Assistance for County Employees - Application Process,0.00010912453680884524,-1.8285714285714285
130,Employee or Retiree CIGNA Dental Coverage,0.00010997760989644531,-19.67142857142857
131,Same Day (For Use by SWS Staff Only),0.00011483545588996478,-269.2857142857143
132,Field Check Required for Division of Solid Waste Services,0.00011637250740293914,-336.92857142857144
133,Department of Permitting Services Location and Hours of Operation,0.00011697108678297553,-129.2714285714286
134,Employee - Verify Health Insurance Coverage,0.00011980983692931283,-38.2
135,Status or Duplicate Transit Service Request,0.00012173082264566241,-11.042857142857143
136,Montgomery County Public Schools Contact Information,0.0001265602092379885,44.1
137,Request for Home Evaluation or Free Smoke Alarms,0.00012814729781794078,-9.142857142857142
138,Office Location and Business Hours for DHCA Licensing,0.00013145199261945225,-14.571428571428573
139,Names of Beneficiaries,0.00013201128187673316,-2.5
140,Maternity Partnership Program Case Management and Education - Silver Spring,0.00013639167658916623,20.614285714285714
141,COVID-19 Health Care Eligibility Units or County Safety Net Programs,0.0001402944338695674,148.8
142,Contact Income Supports Case Manager Germantown,0.00014359301808728082,339.24285714285713
143,Scheduling an Appointment With a Community Use of Public Facilities (CUPF) Scheduler,0.0001463058003539088,-2.9142857142857146
144,"Employee - ID Card for Medical, Dental, Prescription or Vision Plan",0.00014676872675419532,-9.814285714285713
145,Unacceptable for Collection (For Use by SWS Field Staff Only),0.00014802540094245025,-433.14285714285717
146,Housing Opportunities Commission (HOC) Office Locations,0.0001492168791916837,-17.514285714285716
147,Residential Demolition Permit,0.00015499155397102375,-5.1571428571428575
148,Checking Status of a Housing Code Enforcement Complaint or Inspection,0.00015711709584049062,-34.78571428571429
149,Definition of Accessory Dwelling Unit,0.00015787420125479412,3.0142857142857142
150,DataMontgomery Website,0.00016759978056774425,-1.4857142857142858
151,Resdential Building Codes,0.00016975671728254832,-5.142857142857143
152,Greater D.C. Diaper Bank,0.0001728401360376637,4.5
153,Child Care Subsidy Programs: Working Parents Assistance Program - Location,0.00017601376508631614,-5.485714285714286
154,Child Support Administration of Maryland,0.0001794209412255716,13.514285714285712
155,Report a Parking Complaint to the Montgomery County Police,0.00018099860224960504,-17.614285714285714
156,Retiree - Prescription Insurance Inquiry,0.0001869168178787727,11.0
157,State Highway Administration (SHA) Park and Ride Lots,0.00018704122898319803,-2.6428571428571432
158,COVID-19  Accessing Services for Homeless Individuals and Families,0.00020221778143050305,11.5
159,Patient Navigator Program to Assist the Low Income Latino Community,0.00020555712724933955,-1.7857142857142858
160,ResCare,0.00020570098094145473,-2.1571428571428575
161,Division of Solid Waste Services Events,0.00022415481067589104,-25.84285714285714
162,Business Recycling Questions and Complaints,0.0002256573067261329,-11.8
163,Health Care Eligibility Units  (formerly MAGI and SEU units) Request All Offices,0.0002281853305549886,9.22857142857143
164,Montgomery County Public Schools,0.00024292208698288462,-20.742857142857147
165,Locations of County Parking Lots and Garages,0.0002470818786231128,-6.685714285714287
166,COVID-19 Office of County Attorney Update,0.0002559736583619996,2.3
167,The Opioid Crisis and the Drug Narcan or Naloxone,0.00027804724054911157,-1.6
168,Unacceptable for Collection - Recycling & Refuse Services,0.00028066939018417825,319.6
169,Personal Property Tax Bills,0.0002828786796489366,60.64285714285714
170,Aging and Disability Resource Unit (ADRU) of  the Department of Health and Human Services (HHS),0.0002872676939454352,-45.67142857142858
171,Carbon Monoxide Detector General Safety Information,0.0002989480239401885,-3.5
172,Residential Inspection Status,0.00030914019057367784,-25.4
173,Reporting a Stray Animal,0.0003127665478376061,-7.685714285714285
174,Standards for Class 3 Accessory Dwelling Units,0.00032831582640120135,12.4
175,Police Department Most Frequently Requested Phone Numbers,0.0003557933746153224,-10.771428571428572
176,Viewing or Obtaining Copies of County Code and County Charter,0.0003580478970327436,-1.7857142857142856
177,Contact the Montgomery County Fire Marshal's Office or Fire Code Compliance Section,0.00036215637245570347,-23.07142857142857
178,Food Borne Illness,0.00039374491915615404,-4.785714285714286
179,Request Apartment Inspection,0.0004350331977491224,-6.485714285714286
180,Traffic Signal Outage,0.0004355929065082325,-17.285714285714285
181,Park Overnight in Garage,0.00043919118938510305,-1.9428571428571428
182,COVID-19 Rental Relief Program HHS,0.0004432261107919504,1217.9
183,Fire Code Compliance Inspection Request,0.0004482785797342119,-74.1
184,AccessMCG - CSR Reset Password or Unlock Account,0.00044839621390993446,-2.6857142857142855
185,Fugitive or Warrant Unit,0.0004495587632438112,-2.2
186,"COVID-19 Restaurant, Bars, Theater, Gyms and other Businesses Licensed by Public Health Services License and Regulatory office",0.0004578804951110961,103.5
187,Process to License a Rental Unit,0.000466895278048484,-11.285714285714285
188,Report Streetlight Outage or Malfunctioning,0.0004898732534609264,-35.87142857142857
189,Ride On Bus Stop Park and Ride Lots,0.000493241377614695,-1.7142857142857144
190,Accessory Apartment Inspections,0.0005102748250210514,-1.8
191,"COVID-19 Closures, Service Modifications and Cancellations in Montgomery County",0.0005327852195891981,491.0
192,Maryland Department of Education Division of Early Childhood (Child Care),0.0005367366369119512,1.6
193,Walk-in Landlord-Tenant Complaints,0.0005508451074255185,-59.28571428571429
194,Lost Money in Parking Meter,0.000563859152072917,-2.9714285714285715
195,Employment with Fire and Rescue Service,0.0005706401973292732,-1.4857142857142858
196,How to Become a Child Care Provider,0.0005838441026845411,-1.8857142857142857
197,Recycling Bin Contamination Enforcement,0.0005932123843714419,-5.785714285714286
198,Legal Issues for Seniors,0.0005940484827570664,-4.671428571428571
199,IT or Telecom Helpdesk,0.0006024263394087562,-8.914285714285715
200,Digital Permit Parking Program,0.0006072388466276504,-4.314285714285715
201,Electronic Benefits Transfer (EBT) Card Information for Public Assistance Benefits,0.0006255361871406834,141.64285714285714
202,Receipt of a Rental License Certificate,0.0006584857133953992,-4.4
203,Online Search for an Operational or Fire Code Compliance Permit,0.0006781140078292256,-5.685714285714285
204,Indoor Air Quality,0.0006794627477567704,-1.5142857142857142
205,Ride On Fare Purchase SmarTrip Cards and Load Value,0.0007045918736312537,-1.7428571428571429
206,Obtain a Montgomery County Permit for Hazardous Materials,0.0007296903520099057,-1.4428571428571428
207,Montgomery County Executive Staff and Directors,0.0007563960508741729,-1.6142857142857143
208,Physical Address for the Office of the County Executive,0.000766585240031385,-1.5
209,Recording Fees Associated With a Deed in Montgomery County,0.0007770005960640952,12.714285714285715
210,MC311 General Information,0.0007903773944122802,-38.400000000000006
211,Reconsideration Recertification or Redetermination for Public Assistance Benefits,0.0007948500851307609,65.28571428571429
212,Taxi Complaint,0.0007954796113878781,-5.114285714285714
213,Amount of Allowable Landlord Rent Increase,0.0007968883675818749,-11.185714285714285
214,Scrap Metal Pick-Up Request,0.0008070869030858903,930.1285714285714
215,Unit Inspection Date/Time for a HOC Inspection,0.0008295856488176563,-2.3142857142857145
216,Filing a Claim Against the County,0.0008754195678921311,-24.028571428571432
217,Credit Checks,0.0009031708475149152,-4.771428571428571
218,Plant a Tree,0.0009122408674382148,-27.0
219,Replace Tree that was Removed from Right of Way,0.0009141482244655945,-61.857142857142854
220,Address of the Local District Police Station,0.000928199605863713,-7.014285714285713
221,Special Food Permit License for Temporary Event,0.0009374937041153208,-3.7714285714285714
222,Cable Complaints,0.000941888195828904,-21.785714285714292
223,"Montgomery County Governement Employees Organization, Local 1994 Union",0.0010096071351757472,-1.9
224,Fuel Energy Tax Information,0.0010336167778159443,-1.2714285714285714
225,"Office of the County Attorney - Location, Hours of Operation, and Contact Information",0.0011161271384183187,-3.528571428571429
226,Literature Items - Commercial/Business and Multi-family Recycling,0.0011446909871329284,-29.92857142857143
227,Children Home Alone,0.0011530881819424982,-2.3142857142857145
228,"Report Child Abuse, Neglect, Sex Abuse",0.001164189123302233,-7.357142857142858
229,Pregnant Woman In Need of Health Care,0.0011691399865101269,20.95714285714286
230,Office of Consumer Protection Location and Contact Information,0.0012012869697197368,-14.542857142857144
231,COVID-19 Montgomery County Public School Community Messages,0.0012358639645822782,1.8
232,SIEBEL TRAINING REQUEST,0.0012538161453761014,-6.5
233,Motor Vehicle Administration (MVA),0.0012556381855161724,55.900000000000006
234,COVID-19 Residential Permit Parking Suspended,0.0012970265272987866,4.7
235,Access to Online Training Catalog,0.0013205404208573134,-1.5571428571428572
236,Hospitals in the Washington Metropolitan Area,0.0013276868048208235,-6.4714285714285715
237,Montgomery Avenue Women's Center,0.0013316105379451112,-2.0
238,Ride On Fare Montgomery College Students Ride Free,0.0013451578155393793,-0.8714285714285714
239,Ride On Glenstone Museum Service,0.0013524041896221424,-3.9
240,Restaurant Inspection Results,0.0013715740960038557,-1.6142857142857143
241,Bethesda Parking Sales Store,0.0013782458105021077,-6.1571428571428575
242,COVID-19 DHCA MPDU Program,0.0013790508802509341,7.9
243,Pre-Construction Meeting for Well and Septic Systems Requiring a Well and Septic Permit,0.0013825411232015307,-2.3857142857142857
244,Updating Information Provided on Original Rental License Application and Printing Rental License,0.0014204269599288161,-4.3
245,Applying for the Child Care Subsidy Programs,0.001425090677864835,-7.242857142857142
246,Noise Complaint to the Police Department,0.0014599323492991353,6.071428571428571
247,Already Registered For MPDU Class But Can't Remember Time or Location,0.0014810040075049556,-1.8428571428571427
248,Victim Assistance and Sexual Assault Program (VASAP) Offerings,0.0014839550938350542,-1.8714285714285717
249,Maryland State Department of Education of Maryland Office of Child Care,0.001491311112961217,-1.5
250,Project Reboot,0.001491311112961217,-1.5
251,Contact Income Supports Case Manager Silver Spring,0.0015056819991046118,134.34285714285713
252,Short Term Residential Rental law,0.0015156527614575907,-6.228571428571429
253,Transfer Call to 911,0.001528357188474735,-1.2857142857142858
254,Residential Special Inspections Program,0.001544995459530154,-4.771428571428571
255,Raising Chickens and Roosters,0.0015522364577662535,6.7
256,AccessMCG (FIN Payroll) - Employee Didn't Receive or Can't Find Letter With Temporary Login ID & Temporary Password,0.0015652166937124433,-1.4285714285714286
257,Office of Human Rights Location,0.0015956312889722172,-5.271428571428571
258,COVID-19 Food Access Call Center,0.0016909390221906458,121.0
259,Pay by Cell Park Now Parking System,0.0017311564301489971,-1.3714285714285714
260,Clinics for Low Income Adults,0.0017318409765160981,-15.214285714285714
261,COVID-19 Renter Relief Act,0.0017461080078359005,20.1
262,State of Maryland Customer Call Center for Department of Human Services,0.001790834930675183,333.35714285714283
263,Procedure to Apply for Internship,0.0018048805291995325,-1.614285714285714
264,Mice Rats or Rodent Complaints in a Restaurant or Other Eating Establishment,0.0018068129251665802,-1.8142857142857145
265,Ride On Kids Ride Free Program,0.001813517830370232,-6.542857142857144
266,Schedule Fire Alarm Inspections - New Construction,0.0018311626920079955,-1.7714285714285716
267,Stormwater Management on Private Residential Lots,0.0018694771170562289,1.5857142857142854
268,Exposure to Someone with Tuberculosis (TB),0.0018958964249846026,-5.242857142857142
269,Missing Person,0.001968301904753812,-1.2857142857142858
270,Rabies Vaccine for Human Beings,0.0020028552832234326,-1.5285714285714285
271,Ride On Fare Youth Cruiser Pass on SmarTrip Card,0.0020076281178040153,-9.942857142857143
272,Department of Permitting Services Staff Complaint,0.0020606979963358764,-3.6571428571428566
273,Ride On Monthly Pass on SmarTrip Card,0.0020925308596438786,-2.4857142857142858
274,Request for Immediate Smoke Alarm Installation,0.0021229647358144564,-4.857142857142858
275,Jury Service,0.002161176251768044,-10.514285714285716
276,Location and Hours of Operation for the Animal Shelter,0.002162275663031529,-3.6428571428571423
277,Request New Sign to be Installed on Street,0.002173949417519943,-10.771428571428572
278,Abused Persons Program (APP),0.0021838788006316506,-2.928571428571429
279,First Aid/CPR Lessons,0.0021894301768624305,-1.9857142857142855
280,"Unemployment Information through the Maryland State Department of Labor, Licensing and Regulation",0.002250918875602376,150.31428571428572
281,Reduced Cost Dental Care for Low Income Adults,0.0024362556057854648,6.3
282,Enforcement Cameras and Speed to Trigger Citation,0.0025003170552659213,-1.2428571428571429
283,Speaker Request for Residential County Trash or Recycling Programs,0.002517086341839642,-1.4571428571428573
284,Retiree - Prescription Insurance Question,0.002536694008017311,-8.814285714285713
285,Montgomery County Recreation Programs for Seniors,0.002538506441799344,-4.171428571428571
286,Adding a Family Member to a Moderately Priced Dwelling Unit (MPDU) Deed during the Control Period.,0.0025530600682614536,0.6285714285714286
287,"Report the Abuse, Neglect, or Financial Exploitation of a Vulnerable Adult or Disabled Person to Adult Protective Services",0.0025783747285792534,-6.828571428571429
288,Challenging Automated Traffic Enforcement Citations Received Weeks After the Alleged Incident,0.002619222995018495,-0.8571428571428571
289,Employee - Eye Med Vision Insurance Question,0.0026236409248817207,-4.885714285714286
290,Passport Application,0.0026359216743590285,-1.0857142857142859
291,How to Apply for Care for Kids,0.0026711919967013285,-10.628571428571426
292,Payment of Outstanding Parking Meter Violations,0.0027952284851338934,-1.0571428571428572
293,Montgomery County Government Employee - Recreation Total REC Pass and Family All Pool Pass,0.0028453372865030447,-0.7857142857142857
294,Contact the County Attorney's Office Regarding a Code Enforcement Issued Citation or Upcoming Court Date,0.0028606459743246333,-1.3857142857142857
295,"COVID-19 Maryland Health Connection Special Enrollment Period Through July 15, 2020",0.0029308207182043903,36.6
296,Damage to Personal Property by Fire and Rescue Services,0.002942517322923762,-1.2428571428571429
297,Employee - Requests  Copy of Pay Advice (Payslip),0.0029951633190497015,-1.1857142857142857
298,Retiree - EyeMed 2019 Discount Vision Plan,0.0030230919886733345,-10.857142857142858
299,AccessMCG (iRecruitment) - Information Required to Complete Job Application,0.0030867862923226602,-1.6
300,COVID-19 Report Violations of Maryland Governor's Emergency Orders to the Montgomery County Police,0.0031515010897964855,29.5
301,311 Call Centers Outside Maryland,0.0031886901853037867,27.714285714285715
302,Frequency of Assessment to Real Property in Montgomery County,0.003214842672937785,-6.2
303,Location and Hours of Operations for Montgomery County Recreation Main Office,0.0034293390830728568,-6.2857142857142865
304,Questions about Cannabis (Marijuana) in the State of Maryland,0.003436896596673244,-1.314285714285714
305,Eligibility Requirements for Montgomery County Recreation Financial Assistance,0.003449152807180887,-0.9714285714285714
306,MetroAccess Reduced Fare Program,0.003459936699328545,-3.5142857142857142
307,Pothole Repair,0.0034879169031007975,-182.0
308,Ride On Request for Later or Earlier Bus Service Hours to be Added to Existing Routes,0.0034926510125263253,-1.4857142857142858
309,Public Information Office Referrals,0.0035137827746395964,-7.0
310,Eviction Process after Writ Issued,0.0035538273891090036,-2.4571428571428573
311,Personal Property Tax Billing,0.0035556345561133093,-49.0
312,Request to Speak to a Commission on Common Ownership Communities (CCOC) Staff Member,0.0035629271119173695,-15.971428571428568
313,City of Takoma Park,0.003617150075531986,-6.857142857142858
314,Contacting Staff Member at the Office of Home Energy Program or Rental Assistance Program,0.0036187976944742142,-4.271428571428571
315,Applying for the Rental Assistance Program or Status of an Application,0.0036331191328284967,30.84285714285715
316,"Commercial Building Permits: New Construction, Additions, Alterations",0.0036507336191703666,-8.871428571428574
317,Family Justice Center (FJC),0.0037096823753034014,-1.9714285714285715
318,Cornerstone Montgomery (formerly Threshold Services),0.0037357330422027914,-1.8857142857142857
319,Apply for office of Home Energy Programs or check Status of New Application or Recertification,0.0037523283816651974,367.8285714285714
320,County Employee Process for Filing a Discrimination Claim,0.0037777318660288895,-1.7714285714285716
321,Taxable Levy Year,0.0038267441135582453,-0.7571428571428571
322,Emergency Building Inspections by the Department of Permitting Services (DPS),0.0038356174534912493,-1.314285714285714
323,County Recycling/Refuse Collection Day,0.00387426254786832,-33.599999999999994
324,Employee - Request Copy of W-2 Form Not Received,0.003959385731141098,2.1
325,List of Required Inspections,0.003962922398246393,-2.557142857142857
326,Montgomery County Treasury Division Location and Hours of Operation,0.004003074777282399,-24.0
327,Medicaid Transportation Program,0.004049734960305753,-2.0285714285714285
328,Contact Case Manager 7300 Calhoun Place Income Support Office,0.004073843877934911,22.54285714285714
329,Emergency Management Service (EMS) Transportation Insurance Reimbursement Billing Concerns,0.00407481314056442,-3.5
330,Parking Ticket Contact,0.004080632035382313,-8.5
331,Ride On Fare Media Request for Information,0.004261185498225631,-3.0428571428571427
332,Maryland Renter's Tax Credit Information and Application,0.004315075999169697,-3.057142857142857
333,COVID-19 Resources for Businesses,0.0043197569127641985,71.6
334,"Tree Permits, Removal, and Concerns.",0.004339370322755132,3.5
335,6 Gallon Baby Blue Delivery,0.004368474721194288,17.371428571428574
336,Immediate Need for Car Seat Inspection Appointment,0.004384131570348814,-1.3285714285714287
337,Employee - Request for Copy of Pay Advice (Payslip),0.004404838762275397,1.4
338,Reporting Pothole on a State Route or Beltway,0.004498644466264645,-13.814285714285715
339,Time to Return Security Deposit,0.004545438510951828,-3.457142857142857
340,Failure to Renew an Electrical License,0.004700152674496787,3.8428571428571425
341,Obtain a Tax Clearance Certificate,0.004702037272735648,36.285714285714285
342,Change of Address or Phone Number,0.004811322081853027,-4.057142857142857
343,"General Information about Types of Stormwater Management BMPs (Ponds, Underground Structures, Dry Ponds, Wetlands, Detention Basins, LID, ESD, Bioretention)",0.004979322437633268,1.5571428571428572
344,General Information about Stormwater Facility Maintenance,0.004997920132095667,-1.0
345,Complaint Regarding a Telephone Bill,0.005121072764272635,1.2
346,State of Maryland Medical Examiner,0.005121072764272635,1.2
347,Volunteering at a Montgomery County Fire Rescue Department,0.005178790055067483,-1.8285714285714283
348,Bus Problems,0.005249441207228339,-2.1857142857142855
349,Employee - Dental Insurance Question,0.005320035919403744,-8.728571428571428
350,AccessMCG (FIN Payroll) - Employees with Single Sign On Access,0.005494892727055115,-0.8714285714285714
