,service_type,p-value,direction,inc/dec
67,Plant a Tree,0.0009122408674382148,-27.0,decreased
68,Division of Solid Waste Services Events,0.00022415481067589104,-25.84285714285714,decreased
69,Residential Inspection Status,0.00030914019057367784,-25.4,decreased
70,Replace Damaged or Missing Street Sign,7.348997682988724e-05,-24.32857142857143,decreased
71,Ride On Paper Schedules,3.469807935564326e-05,-24.057142857142853,decreased
72,Filing a Claim Against the County,0.0008754195678921311,-24.028571428571432,decreased
73,Montgomery County Treasury Division Location and Hours of Operation,0.004003074777282399,-24.0,decreased
74,Billing Questions Related to Fire Code Compliance,0.012119190589531162,-23.928571428571427,decreased
75,Active Montgomery Assistance,3.898948415423496e-07,-23.571428571428573,decreased
76,Employment Verification Request (Retiree and Former Employee),1.705255473582135e-06,-23.4,decreased
77,Alert Montgomery - Unsubscribe From All Alert Montgomery Notifications,0.01699722166518085,-23.15714285714286,decreased
78,Contact the Montgomery County Fire Marshal's Office or Fire Code Compliance Section,0.00036215637245570347,-23.07142857142857,decreased
79,SmarTrip Card Problems,1.2944774300431656e-10,-22.857142857142858,decreased
80,7 Gallon Desk Side Bin Delivery (Commercial Businesses),2.568406358577947e-06,-22.785714285714285,decreased
81,"Ride On Real Time Message ""Scheduled Time""",0.007499650791931424,-22.371428571428574,decreased
82,Determining Whether a Rental Property is Licensed or the Status of a Rental License Application,7.802605515950514e-07,-22.285714285714285,decreased
83,Cable Complaints,0.000941888195828904,-21.785714285714292,decreased
84,Applying for Community Use Space,8.856811330449822e-08,-21.7,decreased
85,CSC Solution Not Found,0.01894384709853801,-21.64285714285714,decreased
86,Information Printed on the Tax Bill,0.007820475015127074,-21.2,decreased
87,"TB Clinic Location and Hours, How to Make an Appointment",1.581262540983769e-08,-20.82857142857143,decreased
88,Montgomery County Public Schools,0.00024292208698288462,-20.742857142857147,decreased
89,Land Records,0.0165844940877863,-20.471428571428575,decreased
90,Employee or Retiree CIGNA Dental Coverage,0.00010997760989644531,-19.67142857142857,decreased
91,Retiree - Verify Health Insurance Coverage,0.02305081274806726,-19.657142857142855,decreased
92,Contact Specific Community Use of Public Facilities Scheduler or Staff Member,2.2032874022533936e-09,-19.285714285714285,decreased
93,Cancel a Scheduled Residential Inspection,1.4478338162913993e-05,-17.67142857142857,decreased
94,Report a Parking Complaint to the Montgomery County Police,0.00018099860224960504,-17.614285714285714,decreased
95,City of Rockville,0.02352834262791345,-17.542857142857137,decreased
96,Housing Opportunities Commission (HOC) Office Locations,0.0001492168791916837,-17.514285714285716,decreased
97,Application Process for an Electrical Permit,4.6768634213033236e-05,-17.442857142857147,decreased
98,Traffic Signal Outage,0.0004355929065082325,-17.285714285714285,decreased
99,Grass Damage from Snow Event,0.027617605007175035,-16.8,decreased
100,Apply for Medicaid or Medical Assistance Rockville,0.01071327185718333,-16.785714285714285,decreased
101,Apply to Food Stamps Program  Rockville Office,0.009638688237977599,-16.428571428571427,decreased
102,8818 Request for Back Office Response,3.36067096683266e-06,-16.414285714285715,decreased
103,"Location, Hours and Parking for the Office of Human Resources",5.435832976586136e-08,-16.4,decreased
104,Request to Speak to a Commission on Common Ownership Communities (CCOC) Staff Member,0.0035629271119173695,-15.971428571428568,decreased
105,Change Line - Rockville,0.009428878940278813,-15.285714285714286,decreased
106,Clinics for Low Income Adults,0.0017318409765160981,-15.214285714285714,decreased
107,DHCA Housing Code Enforcement Office Location,2.6218725245988265e-07,-14.957142857142857,decreased
108,"Department of Housing and Community Affairs, Office of Landlord-Tenant Affairs - Location and Business Hours",8.098602772724495e-06,-14.942857142857143,decreased
109,Electronic Benefits Transfer (EBT) Card  Rockville,0.008630653641663225,-14.785714285714286,decreased
110,Office Location and Business Hours for DHCA Licensing,0.00013145199261945225,-14.571428571428573,decreased
111,AccessMCG (iRecruitment) - County Employment Application Process,1.2699432489436717e-06,-14.557142857142857,decreased
112,Office of Consumer Protection Location and Contact Information,0.0012012869697197368,-14.542857142857144,decreased
113,Ride On Fare Cost,1.923645406569342e-06,-14.5,decreased
114,AccessMCG (iRecruitment) - Errors,1.4751704849813201e-05,-14.4,decreased
115,Reporting Pothole on a State Route or Beltway,0.004498644466264645,-13.814285714285715,decreased
116,Standards for Class 3 Accessory Apartments,1.5376720196873865e-05,-13.642857142857142,decreased
117,Change Line - Germantown,0.01014301705888964,-13.142857142857142,decreased
118,Meeting & Event Attendance Requests With the County Executive,8.678623012602088e-06,-12.9,decreased
119,Senior Dental Program,2.452338858810459e-07,-12.828571428571427,decreased
120,Apply to Food Stamps Program Silver Spring Office,0.009702510146133938,-12.714285714285714,decreased
121,Report a Maintenance Issue at a Ride-On Bus Stop,4.434817569959936e-06,-12.685714285714285,decreased
122,Immunization Clinic Schedule for Children,5.163089718313787e-05,-12.642857142857142,decreased
123,Food Stamps and Cash Assistance Availability in Account Rockville,0.011141821557068169,-12.642857142857142,decreased
124,Reduced Cost Dental Care for Low Income Adults and Children,3.7734225264390695e-08,-12.242857142857142,decreased
125,Schedule a Tour of the Recycling Center,5.248434190339056e-06,-12.22857142857143,decreased
126,Electronic Benefits Transfer (EBT) Card  Germantown,0.0101205413738571,-12.071428571428571,decreased
127,Business Recycling Questions and Complaints,0.0002256573067261329,-11.8,decreased
128,Reconsideration Recertification or Redetermination Question - Rockville,0.00936218778382117,-11.714285714285714,decreased
129,Traffic Study,0.016209741800863244,-11.514285714285716,decreased
130,Roadway Resurfacing or Repaving,0.005602378270597467,-11.5,decreased
131,Adult Dental Care,4.772224442976698e-06,-11.485714285714284,decreased
132,Process to License a Rental Unit,0.000466895278048484,-11.285714285714285,decreased
133,Amount of Allowable Landlord Rent Increase,0.0007968883675818749,-11.185714285714285,decreased
134,Plumbing Permits - Wasington Suburban Sanitary Commission,5.260912454921901e-05,-11.071428571428573,decreased
135,Status or Duplicate Transit Service Request,0.00012173082264566241,-11.042857142857143,decreased
136,Temporary Suspension of Parking Enforcement in a Permit Parking District,2.7764009508892064e-07,-10.885714285714286,decreased
137,Retiree - EyeMed 2019 Discount Vision Plan,0.0030230919886733345,-10.857142857142858,decreased
138,Police Department Most Frequently Requested Phone Numbers,0.0003557933746153224,-10.771428571428572,decreased
139,Request New Sign to be Installed on Street,0.002173949417519943,-10.771428571428572,decreased
140,How to Apply for Care for Kids,0.0026711919967013285,-10.628571428571426,decreased
141,How to Obtain a Moderately Priced Dwelling Unit  (MPDU) Rental Apartment,0.01023202181575443,-10.628571428571426,decreased
142,Pay a Fine for a Speed Camera or a Red Light Camera Ticket,6.17684272175553e-05,-10.614285714285716,decreased
143,Jury Service,0.002161176251768044,-10.514285714285716,decreased
144,Ride On Compliment,3.8752408370610425e-08,-10.5,decreased
145,Food Stamps and Cash Assistance Availability in Account Germantown,0.009779690275990821,-10.142857142857142,decreased
146,"Ride On Complaint - Other, Miscellaneous",3.258905510945729e-05,-10.085714285714285,decreased
147,Montgomery County Circuit Court,0.01860264629129349,-9.971428571428568,decreased
148,Ride On Fare Youth Cruiser Pass on SmarTrip Card,0.0020076281178040153,-9.942857142857143,decreased
149,Landlord Tenant Handbook,0.01813421859442715,-9.92857142857143,decreased
150,"Employee - ID Card for Medical, Dental, Prescription or Vision Plan",0.00014676872675419532,-9.814285714285713,decreased
151,AccessMCG (iRecruitment) - Check Status of and Ratings on Employment Application,1.9201667032778514e-05,-9.785714285714286,decreased
152,Apply for Medicaid or Medical Assistance Silver Spring,0.008681708868058961,-9.785714285714286,decreased
153,Change Line - Silver Spring,0.012656975165074648,-9.714285714285714,decreased
154,"Termination of case: food stamps, TCA, Medicaid, TDAP  - Rockville",0.013069396139249628,-9.714285714285714,decreased
155,Crosswalk Signal Repair,4.240971004683386e-05,-9.314285714285715,decreased
156,Apply to Food Stamps Program Germantown Office,0.011684291955887416,-9.214285714285714,decreased
157,Request for Home Evaluation or Free Smoke Alarms,0.00012814729781794078,-9.142857142857142,decreased
158,Reconsideration Recertification or Redetermination Question - Germantown,0.011537373532576814,-9.0,decreased
159,IT or Telecom Helpdesk,0.0006024263394087562,-8.914285714285715,decreased
160,"Commercial Building Permits: New Construction, Additions, Alterations",0.0036507336191703666,-8.871428571428574,decreased
161,HIV Services and Information,5.763993688257094e-06,-8.814285714285713,decreased
162,Retiree - Prescription Insurance Question,0.002536694008017311,-8.814285714285713,decreased
163,Apply for Medicaid or Medical Assistance Germantown,0.00901636098757468,-8.785714285714286,decreased
164,How to Apply to the Moderately Priced Dwelling Unit (MPDU) Purchase Program,0.028467200484130855,-8.785714285714286,decreased
165,Employee - Dental Insurance Question,0.005320035919403744,-8.728571428571428,decreased
166,Parking Ticket Contact,0.004080632035382313,-8.5,decreased
167,Immunization for Out of the Country Travel,7.331771606505782e-06,-8.457142857142857,decreased
168,"Cancel a Scheduled DPS Commercial Building, Electrical or Mechanical Construction Related Permit Inspection",1.8875548047019514e-05,-8.457142857142857,decreased
169,Ride On Fare Seniors/People/Persons with Disabilities Riding Free in Montgomery County,8.063882668651425e-07,-8.371428571428572,decreased
170,Sales Representative Requests Walk Through or Pick Up,0.04895026765464,-8.371428571428572,decreased
171,Specified Low Income Medicare Beneficiary or Qualified Medicare Beneficiary SLMB or QMB,0.013615881197312054,-8.357142857142858,decreased
172,Traffic Hazard,3.4392660237363247e-07,-8.32857142857143,decreased
173,Ride On Fare - Obtaining a Senior SmarTrip Card,8.650671231596193e-05,-8.257142857142858,decreased
174,Library Meeting Rooms - When to Submit Applications for Room Reservations,1.4695748777878272e-07,-8.242857142857142,decreased
175,Maryland's New Smoke Alarm Law,6.418657690771635e-05,-8.157142857142858,decreased
176,Appeal Parking Ticket,0.006791764529382854,-8.157142857142858,decreased
177,Death Certificates,2.0779310567144444e-07,-8.142857142857142,decreased
178,Report a Broken Parking Meter,4.446247906663846e-05,-8.12857142857143,decreased
179,"Employee, Retiree or Participating Agency - Group Insurance Coverage Denial",0.03266917487990384,-8.014285714285712,decreased
180,Grass Damage from Non-Snow Events,0.012309984170458161,-8.0,decreased
181,Sanitation Concerns in Restaurant or Other Food Service Facility,0.010603578400227196,-7.914285714285715,decreased
182,"Fee Schedule for: Residential Building, Demolition, Fire Alarm, Fire Sprinkler, Fence Permits, Use and Occupancy Certificate",0.017536216973155456,-7.814285714285717,decreased
183,Ride On Flex,0.010874889459541192,-7.728571428571429,decreased
184,Reporting a Stray Animal,0.0003127665478376061,-7.685714285714285,decreased
185,Eviction Notice,1.0544184458380327e-06,-7.671428571428571,decreased
186,Adult Vaccines and Immunizations the Department of Health and Human Services,3.368524960355561e-05,-7.628571428571429,decreased
187,Medicaid Transportation,0.006110494825312807,-7.5285714285714285,decreased
188,Schedule DPS Fire Protection/Fire Alarm System Inspection,0.006213004353614429,-7.471428571428573,decreased
189,Montgomery County Crisis Center,0.017131495791945887,-7.4571428571428555,decreased
190,MTA Commuter Bus,4.473224503122345e-08,-7.414285714285714,decreased
191,Montgomery County Community Recreation Center Locations and Hours of Operation,3.728321073893749e-05,-7.414285714285714,decreased
192,Social Security Administration Medicare Health Insurance,0.04080631776415689,-7.385714285714286,decreased
193,"Report Child Abuse, Neglect, Sex Abuse",0.001164189123302233,-7.357142857142858,decreased
194,Applying for the Child Care Subsidy Programs,0.001425090677864835,-7.242857142857142,decreased
195,Address of the Local District Police Station,0.000928199605863713,-7.014285714285713,decreased
196,Public Information Office Referrals,0.0035137827746395964,-7.0,decreased
197,City of Takoma Park,0.003617150075531986,-6.857142857142858,decreased
198,"Report the Abuse, Neglect, or Financial Exploitation of a Vulnerable Adult or Disabled Person to Adult Protective Services",0.0025783747285792534,-6.828571428571429,decreased
199,Income Support Caseworker Complaint Rockville Office,0.010856609268101806,-6.785714285714286,decreased
200,Pre-Construction Meeting for Commercial Building Construction,2.2956651033385132e-05,-6.685714285714287,decreased
201,Locations of County Parking Lots and Garages,0.0002470818786231128,-6.685714285714287,decreased
202,Ride On Kids Ride Free Program,0.001813517830370232,-6.542857142857144,decreased
203,SIEBEL TRAINING REQUEST,0.0012538161453761014,-6.5,decreased
204,Request Apartment Inspection,0.0004350331977491224,-6.485714285714286,decreased
205,Hospitals in the Washington Metropolitan Area,0.0013276868048208235,-6.4714285714285715,decreased
206,"Termination of case: food stamp, TCA, Medicaid, TDAP  - Germantown",0.013643720604489982,-6.357142857142857,decreased
207,Employee  or Retiree - Group Insurance Paycheck Deductions Incorrect,0.04760872343850817,-6.314285714285713,decreased
208,Location and Hours of Operations for Montgomery County Recreation Main Office,0.0034293390830728568,-6.2857142857142865,decreased
209,Short Term Residential Rental law,0.0015156527614575907,-6.228571428571429,decreased
210,Frequency of Assessment to Real Property in Montgomery County,0.003214842672937785,-6.2,decreased
211,Bethesda Parking Sales Store,0.0013782458105021077,-6.1571428571428575,decreased
212,Request For New Ride-On Bus Stop or Shelter,3.3859382767075423e-06,-6.042857142857143,decreased
213,Call-n-Ride Eligibility and Program Information,8.02690115663753e-06,-5.9714285714285715,decreased
214,Request for Deed Copy,0.017765815625092697,-5.914285714285715,decreased
215,Electronic Benefits Transfer (EBT) Card  Silver Spring,0.015299895003526246,-5.857142857142857,decreased
216,Unidentified Montgomery County Government Property Tax Refund,0.00795253078743753,-5.7857142857142865,decreased
217,Recycling Bin Contamination Enforcement,0.0005932123843714419,-5.785714285714286,decreased
218,AccessMCG (iRecruitment) - Applying for Multiple County Positions,8.18797027017049e-05,-5.757142857142858,decreased
219,Online Search for an Operational or Fire Code Compliance Permit,0.0006781140078292256,-5.685714285714285,decreased
220,Unattended Fire Hydrant Discharging Water,0.027925139517453866,-5.671428571428571,decreased
221,"Department of Permitting Services Fee Schedule for: Commercial Building, Demolition, Retaining Walls, Commercial Use and Occupancy",0.007809590542525292,-5.585714285714285,decreased
222,Food Stamps and Cash Assistance Availability in Account Silver Spring,0.017383762255015863,-5.571428571428571,decreased
223,Reconsideration Recertification or Redetermination Question - Silver Spring,0.008385608442780117,-5.5,decreased
224,Child Care Subsidy Programs: Working Parents Assistance Program - Location,0.00017601376508631614,-5.485714285714286,decreased
225,Tree Montgomery - Free Trees on Private Property,0.013507594407198061,-5.457142857142857,decreased
226,Property Damage/Property Missing,0.02757734442945715,-5.442857142857143,decreased
227,"Maternity Partnership Program, Case Management and Education - Silver Spring",0.012717440141545163,-5.428571428571429,decreased
228,Permit Requirement for Dumpster or Pod in Driveway,0.013550353506632215,-5.357142857142857,decreased
229,Car Seat Program,8.444947902427117e-05,-5.314285714285713,decreased
230,Tows,0.009836615580149295,-5.300000000000001,decreased
231,Ride On Refund for Cash Lost in Bus Fare Box,2.8494677209171934e-05,-5.285714285714286,decreased
232,"Ride On Holiday Schedule:  Veteran's Day, Martin Luther King, Jr. Day and Presidents' Day",0.022332032009024224,-5.285714285714286,decreased
233,Office of Human Rights Location,0.0015956312889722172,-5.271428571428571,decreased
234,Exposure to Someone with Tuberculosis (TB),0.0018958964249846026,-5.242857142857142,decreased
235,Address and Phone Number of Local Fire Station,0.02612330514491248,-5.2142857142857135,decreased
236,MMR Hepatitis B Varicella Vaccine or Titer,4.036754381960076e-07,-5.2,decreased
237,"Silver Spring Health Center - Location, Hours, Offerings",0.03221983709538795,-5.185714285714287,decreased
238,Sheriff's Office Hours of Operation,0.009559624180045294,-5.171428571428571,decreased
239,Residential Demolition Permit,0.00015499155397102375,-5.1571428571428575,decreased
240,Resdential Building Codes,0.00016975671728254832,-5.142857142857143,decreased
241,Taxi Complaint,0.0007954796113878781,-5.114285714285714,decreased
242,Speed Camera Program,2.1917796938172416e-05,-5.014285714285713,decreased
243,Employee - Eye Med Vision Insurance Question,0.0026236409248817207,-4.885714285714286,decreased
244,Request for Immediate Smoke Alarm Installation,0.0021229647358144564,-4.857142857142858,decreased
245,Freedom of Information Act (FOIA) or Maryland Public Information Act (MPIA) Request.,2.9231279938184848e-05,-4.785714285714286,decreased
246,Food Borne Illness,0.00039374491915615404,-4.785714285714286,decreased
247,Retirement Investments,2.0880671658214748e-06,-4.771428571428571,decreased
248,Credit Checks,0.0009031708475149152,-4.771428571428571,decreased
249,Residential Special Inspections Program,0.001544995459530154,-4.771428571428571,decreased
250,Licensee Wants to Return Product,0.031575817987909226,-4.742857142857144,decreased
251,Legal Issues for Seniors,0.0005940484827570664,-4.671428571428571,decreased
252,HOC Home Ownership Program,0.02000951080430616,-4.557142857142858,decreased
253,Parking Meter - Handicap Cost,6.991254840719865e-06,-4.5285714285714285,decreased
254,Alcohol Return Policy - Non-County Store,0.019324538545058435,-4.457142857142856,decreased
255,Receipt of a Rental License Certificate,0.0006584857133953992,-4.4,decreased
256,Digital Permit Parking Program,0.0006072388466276504,-4.314285714285715,decreased
257,Updating Information Provided on Original Rental License Application and Printing Rental License,0.0014204269599288161,-4.3,decreased
258,Common Ownership Communities (CCOC) Office Location,9.835760642017582e-07,-4.271428571428571,decreased
259,Contacting Staff Member at the Office of Home Energy Program or Rental Assistance Program,0.0036187976944742142,-4.271428571428571,decreased
260,Real Property Tax Calculation Method,4.8897016272273496e-05,-4.228571428571429,decreased
261,Sign Permit,0.012183500911882536,-4.228571428571429,decreased
262,Definition of Accessory Apartment,9.63370454103866e-06,-4.214285714285714,decreased
263,Montgomery County Recreation Programs for Seniors,0.002538506441799344,-4.171428571428571,decreased
264,City of Gaithersburg Permits,0.009120093635609125,-4.1571428571428575,decreased
265,Employee or Retiree EyeMed Vision Coverage,0.019697989504545554,-4.071428571428571,decreased
266,Change of Address or Phone Number,0.004811322081853027,-4.057142857142857,decreased
267,Status of Health Care Eligibility Units (formerly MAGI and SEU Units) Application  All Three Office Locations,0.01802412239144851,-4.0,decreased
268,Active Montgomery System,6.218666155164043e-05,-3.971428571428571,decreased
269,Request to Re-paint Road Striping or Lane Markings,0.016858038226444595,-3.942857142857142,decreased
270,License Fees for Residential Rental Facilities,0.013346516838961937,-3.9285714285714284,decreased
271,DHCA Housing Code Enforcement Staff Complaint,0.007121970047830817,-3.9142857142857137,decreased
272,DOT Highway Staff Complaint,0.025911685445274592,-3.9000000000000004,decreased
273,Ride On Glenstone Museum Service,0.0013524041896221424,-3.9,decreased
274,ACCESS to Behavioral Health and Crisis Services,0.04483226535897083,-3.885714285714286,decreased
275,Reporting County Vehicle Driving Complaints,0.00010669719394634241,-3.871428571428571,decreased
276,Calculation of Property Tax Credit for Elderly Individuals and Military Retirees,0.04458598546089408,-3.871428571428571,decreased
277,Tree Selection to Replant in the ROW,0.0196974740597403,-3.8,decreased
278,Right of Way or Sediment Control Permit Bond Release,0.03957120656508672,-3.7857142857142865,decreased
279,Special Food Permit License for Temporary Event,0.0009374937041153208,-3.7714285714285714,decreased
280,Call-n-Ride Application or Recertification Application,0.006519258266083405,-3.757142857142858,decreased
281,Report Trash at a Ride-On Bus Stop,0.02698712693148921,-3.685714285714286,decreased
282,Department of Permitting Services Staff Complaint,0.0020606979963358764,-3.6571428571428566,decreased
283,Location and Hours of Operation for the Animal Shelter,0.002162275663031529,-3.6428571428571423,decreased
284,"Office of the County Attorney - Location, Hours of Operation, and Contact Information",0.0011161271384183187,-3.528571428571429,decreased
285,MetroAccess Reduced Fare Program,0.003459936699328545,-3.5142857142857142,decreased
286,Carbon Monoxide Detector General Safety Information,0.0002989480239401885,-3.5,decreased
287,Emergency Management Service (EMS) Transportation Insurance Reimbursement Billing Concerns,0.00407481314056442,-3.5,decreased
288,Application Process for Sign Permits,0.01152521256069411,-3.5,decreased
289,"Termination of case: food stamps, TCA, Medicaid, TDAP - Silver Spring",0.018450426360624963,-3.5,decreased
290,Contacting Sediment Control Inspector to Schedule an Inspection,0.041043112093187506,-3.4571428571428573,decreased
291,Time to Return Security Deposit,0.004545438510951828,-3.457142857142857,decreased
292,Income Support Inquiries for District Office 154,0.011479065094067126,-3.4285714285714284,decreased
293,Commercial Violation/Complaint Investigation,0.026876301793912098,-3.328571428571429,decreased
294,Ride On Fare Media Accepted,6.98597020502026e-05,-3.3142857142857145,decreased
295,Fire Prevention and Code Compliance Violation/Complaint Investigation,0.01916988098402629,-3.242857142857143,decreased
296,Income Supports Caseworker Complaint Germantown Office,0.01252730245799835,-3.2142857142857144,decreased
297,Children's Dental Services - Healthy Smiles,0.010384909596709907,-3.2,decreased
298,7300 Calhoun Place Request for Back Office Response,6.774044357553012e-06,-3.1714285714285717,decreased
299,Description of the Moderately Priced Dwelling Unit (MPDU) Program,0.011365109410093074,-3.128571428571429,decreased
300,Process to Reserve a Public Facility,1.187449978517718e-05,-3.0714285714285716,decreased
301,Maryland Renter's Tax Credit Information and Application,0.004315075999169697,-3.057142857142857,decreased
302,Electrical Permit Requirement for Commercial Low Voltage Work,0.012759758046523944,-3.057142857142857,decreased
303,Adding a Family Member to the Property Deed Title,1.9883171524371936e-06,-3.0428571428571427,decreased
304,Ride On Fare Media Request for Information,0.004261185498225631,-3.0428571428571427,decreased
305,Payment of Bag Tax Collections,0.037882979865657,-2.9857142857142858,decreased
306,Lost Money in Parking Meter,0.000563859152072917,-2.9714285714285715,decreased
307,Employee - Request to Discuss Retirement Benefits,0.031407596481492286,-2.9571428571428573,decreased
308,License Requirement For Room Rental Inside Household,0.008883847039482468,-2.957142857142857,decreased
309,County Employee ID Cards,0.01657181644640611,-2.942857142857143,decreased
310,Abused Persons Program (APP),0.0021838788006316506,-2.928571428571429,decreased
311,Scheduling an Appointment With a Community Use of Public Facilities (CUPF) Scheduler,0.0001463058003539088,-2.9142857142857146,decreased
312,Report a KBA Problem,0.03294670397300473,-2.9000000000000004,decreased
313,Transit Requests or General Inquiries,0.03739639189550689,-2.8428571428571434,decreased
314,"Mechanical Permit Requirement for Replacement of Natural Gas Fired Furnaces, Propane and Natural Gas Appliances",0.008958888418453511,-2.8285714285714287,decreased
315,Employee - Insurance Requirements to Add Dependents,0.04620192192247398,-2.8285714285714287,decreased
